1  1 251 262 239 234 248
1  2 233 218 230 251 273
1  3 250 258 258 286 240
1  4 141 143 157 162 169
1  5 418 371 363 384 387
1  6 229 218 228 244 179
1  7 271 289 270 296 346
1  8 312 323 318 383 310
1  9 194 220 214 256 204
1 10 211 232 189 230 231
1 11 205 299 278 259 266
1 12 191 248 283 268 233
1 13 249 217 236 266 235
1 14 301 270 282 287 268
1 15 201 214 247 274 224
1 16 251 257 237 266   .
1 17 277 242 249 293 306
1 18 294 313 295 295 271
1 19 212 236 235 272 287
1 20 230 315 300 305 341
1 21 206 242 236 239   .
1 22 246 205 249 225 236
1 23 245 192 215 214 242
1 24 179 202 194 239 234
1 25 165 142 188 192 200
1 26 262 274 245 275 278
1 27 212 216 228 221 223
1 28 285 292 300 319 277
1 29 166 171 166 186 220
1 30 179 206 214 189 250
1 31 298 280 280 328 318
1 32 238 267 269 268 280
1 33 172 180 216 183   .
1 34 191 208 162 218 206
1 37 282 282   .   .   .
1 38 213 249 219 209   .
1 44 171 188   .   .   .
1 45 242 268   .   .   .
1 46 197 224 214   .   .
1 47 230 228 266   .   .
1 48 373 309 332   .   .
2  1 178 246 295 228 274
2  2 254 260 278 245 340
2  3 185 232 215 220 292
2  4 219 268 241 260 320
2  5 205 232 265 242 230
2  6 182 213 173 200 193
2  7 310 334 290 286 248
2  8 191 204 227 228 196
2  9 245 270 209 255 213
2 10 229 200 238 259 221
2 11 245 293 261 297 231
2 12 240 313 251 307 291
2 13 234 281 277 235 210
2 14 210 252 275 235 237
2 15 275 231 285 238 251
2 16 269 332 300 320 335
2 17 148 180 184 231 184
2 18 181 194 212 217 205
2 19 165 242 250 249 312
2 20 293 276 276 278 306
2 21 195 190 205 217 238
2 22 210 230 249 240 194
2 23 212 224 246 271 256
2 24 243 271 304 273 318
2 25 259 279 296 262 283
2 26 202 214 192 239 172
2 27 184 192 205 253 217
2 28 238 272 297 282 251
2 29 263 283 248 334 271
2 30 144 226 261 227 283
2 31 220 272 222 246 253
2 32 225 260 253 202 265
2 33 224 273 242 274   .
2 34 307 252 316 258 283
2 35 313 300 313 317 397
2 36 231 252 267 299   .
2 37 206 177 194 194 212
2 38 285 291 291 268 260
2 41 250 269   .   .   .
2 42 175 214   .   .   .
2 43 201 219 220   .   .
2 44 268 296 314 330   .
2 45 202 186 253   .   .
2 46 260 268   .   .   .
2 48 209 207 167   .   .
2 49 197 218   .   .   .
2 50 248 262   .   .   .
2 51 212 253 225   .   .
2 52 276 326 304   .   .
2 53 163 179 199   .   .
2 54 239 243 265   .   .
2 55 204 203 198   .   .
2 56 247 211 225   .   .
2 57 195 250 272   .   .
2 58 228 228 279   .   .
2 59 290 264 260   .   .
2 60 284 288 268 261   .
2 61 217 231 276 257   .
2 62 209 200 269 233   .
2 63 200 261 264 300   .
2 64 227 247   .   . 220
2 65 193 189   . 232 211

