 1  1 223 242 248
 1  2  72  81  66
 1  3 172 214 239
 1  4 171 191 203
 1  5 138 204 213
 1  6  22  24  24
 2  1  53 102 104
 2  2  45  50  54
 2  3  47  45  34
 2  4 167 188 209
 2  5 193 206 210
 2  6  91 154 152
 2  7 115 133 136
 2  8  32  97  86
 2  9  38  37  40
 2 10  66 131 148
 2 11 210 221 251
 2 12 167 172 212
 2 13  23  18  30
 2 14 234 260 269
 3  1 206 199 237
 3  2 208 222 237
 3  3 224 224 261
 3  4 119 149 196
 3  5 144 169 164
 3  6 170 202 181
 3  7  93 122 145
 3  8 237 243 281
 3  9 208 235 249
 3 10 187 199 205
 3 11  95 102  96
 3 12  46  67  28
 3 13  95 137  99
 3 14  59  76 101
 3 15 186 198 201
 4  1 202 229 232
 4  2 126 159 157
 4  3  54  75  75
 4  4 158 168 175
 4  5 175 217 235
 4  6 147 183 181
 4  7 105 107  92
 4  8 213 263 260
 4  9 258 248 257
 4 10 257 269 270

