SPC     Male   No  Unk Unk   41
SPC     Male   No  No  Unk   34
SPC     Male   No  No  No  1467
SPC     Male   No  No  Yes  295
SPC     Male   No  Yes Unk   11
SPC     Male   No  Yes No   305
SPC     Male   No  Yes Yes   79
SPC     Male   Yes Unk Unk   11
SPC     Male   Yes No  Unk    4
SPC     Male   Yes No  No   190
SPC     Male   Yes No  Yes   68
SPC     Male   Yes Yes Unk    3
SPC     Male   Yes Yes No    60
SPC     Male   Yes Yes Yes   19
SPC     Female No  Unk Unk   34
SPC     Female No  No  Unk   35
SPC     Female No  No  No  1659
SPC     Female No  No  Yes  218
SPC     Female No  Yes Unk    7
SPC     Female No  Yes No   217
SPC     Female No  Yes Yes   28
SPC     Female Yes Unk Unk    9
SPC     Female Yes No  Unk    4
SPC     Female Yes No  No   120
SPC     Female Yes No  Yes   30
SPC     Female Yes Yes Unk    1
SPC     Female Yes Yes No    17
SPC     Female Yes Yes Yes    4
PDL     Male   No  Unk Unk   33
PDL     Male   No  No  Unk   30
PDL     Male   No  No  No  1495
PDL     Male   No  No  Yes  264
PDL     Male   No  Yes Unk   16
PDL     Male   No  Yes No   278
PDL     Male   No  Yes Yes   80
PDL     Male   Yes Unk Unk    8
PDL     Male   Yes No  Unk    2
PDL     Male   Yes No  No   206
PDL     Male   Yes No  Yes   52
PDL     Male   Yes Yes Unk    4
PDL     Male   Yes Yes No    46
PDL     Male   Yes Yes Yes   25
PDL     Female No  Unk Unk   45
PDL     Female No  No  Unk   49
PDL     Female No  No  No  1618
PDL     Female No  No  Yes  228
PDL     Female No  Yes Unk    6
PDL     Female No  Yes No   191
PDL     Female No  Yes Yes   24
PDL     Female Yes Unk Unk    8
PDL     Female Yes No  Unk    2
PDL     Female Yes No  No   122
PDL     Female Yes No  Yes   12
PDL     Female Yes Yes No    17
PDL     Female Yes Yes Yes    3
Control Male   No  Unk Unk   31
Control Male   No  No  Unk   29
Control Male   No  No  No  1552
Control Male   No  No  Yes  288
Control Male   No  Yes Unk   21
Control Male   No  Yes No   271
Control Male   No  Yes Yes   94
Control Male   Yes Unk Unk    8
Control Male   Yes No  Unk    1
Control Male   Yes No  No   167
Control Male   Yes No  Yes   47
Control Male   Yes Yes Unk    2
Control Male   Yes Yes No    55
Control Male   Yes Yes Yes   23
Control Female No  Unk Unk   48
Control Female No  No  Unk   36
Control Female No  No  No  1640
Control Female No  No  Yes  217
Control Female No  Yes Unk    9
Control Female No  Yes No   185
Control Female No  Yes Yes   24
Control Female Yes Unk Unk    4
Control Female Yes No  Unk    1
Control Female Yes No  No    96
Control Female Yes No  Yes   13
Control Female Yes Yes No    16
Control Female Yes Yes Yes    2

