A  1 35.3 157.1 122.5 217.6 340.3 379.0 556.6
A  2 19.6 152.2 129.6 176.6 213.9 317.9 356.4
A  3 27.0 122.4 196.1 196.1 332.2 388.9 469.3
A  4 55.0  95.0 205.9 205.9 270.0 307.3 405.1
A  5 24.6 168.8 135.3 196.0 340.2 340.4 507.3
A  6 12.6  85.0  70.1 225.1 225.1 289.0 317.9
A  7 35.2 129.8 180.0 274.7 420.1 340.3 507.2
A  8 29.8 157.0 126.8 202.5 225.0 307.2 320.1
A  9 70.0 129.7 196.0 205.8 375.7 419.1 421.2
A 10 29.5 156.9 176.7 225.0 289.0 372.6 379.2
B  1 48.6 115.3  90.8 176.5 317.9 421.2 529.2
B  2 66.7 289.0 215.6 268.8 388.8 487.4 551.3
B  3 24.5 143.7 115.0  90.7 194.3 559.6 629.3
B  4 14.4  84.7 135.2 191.2 176.4 356.4 397.1
B  5 10.8  70.0  80.0 118.3 156.8 215.6 268.8
B  6 11.3  15.0 205.8 289.0 346.8 529.2 629.2
B  7 18.0  56.7 115.3  96.8 177.5 268.8 320.0
B  8 60.0 166.6 166.7 324.0 420.0 440.0 634.8
B  9 29.4 152.1 122.4 186.3 186.3 274.7 485.1
B 10 41.1 186.2 176.6 274.6 361.0 379.1 440.0
C  1 12.5 108.0  96.8 186.2 202.5 213.9 379.1
C  2 23.4 129.6 176.5 196.6 320.0 397.1 500.0
C  3 22.2  65.0 176.4 191.3 213.8 274.6 405.0
C  4 11.2  52.9  70.0 129.6 152.1 303.5 415.0
C  5 66.6 147.0 260.1 420.0 460.0 653.4 806.4
C  6 11.4 115.2  65.1  32.0  10.8   3.2   1.4
C  7 22.1  55.0 115.2  55.0  93.6 118.8 118.3
C  8 40.5 156.8  65.0  84.7 191.2 291.5 400.0
C  9 32.0  44.6 108.9 258.8 247.5 405.0 372.6
C 10 10.0 118.3 166.6 176.4 186.2 340.2 361.0

