1  1 160.0  600
1  1 265.0 1026
1  1 365.0 1470
1  1 454.0 1890
1  2 164.0  516
1  2 260.5  930
1  2 355.0 1380
1  2 451.0 1770
1  3 156.0  480
1  3 260.0 1026
1  3 363.0 1470
1  3 466.0 1890
1  4 160.0  528
1  4 265.0 1026
1  4 365.0 1470
1  4 454.0 1890
1  5 157.0  540
1  5 265.0 1026
1  5 365.0 1470
1  5 454.0 1890
1  6 161.0  564
1  6 265.0 1026
1  6 365.0 1470
1  6 454.0 1890
1  7 161.0  564
1  7 265.0 1026
1  7 365.0 1470
1  7 454.0 1890
1  8 158.0  492
1  8 265.0 1026
1  8 365.0 1470
1  8 454.0 1890
1  9 161.0  516
1  9 265.0 1026
1  9 365.0 1470
1  9 454.0 1890
1 10 155.0  528
1 10 265.0 1026
1 10 365.0 1470
1 10 454.0 1890
1 11 158.0  564
1 11 265.0 1026
1 11 365.0 1470
1 11 454.0 1890
1 12 165.0  618
1 12 265.0 1026
1 12 365.0 1470
1 12 454.0 1890
1 13 158.0  564
1 13 265.0 1026
1 13 365.0 1470
1 13 454.0 1890
1 14 162.0  552
1 14 265.0 1026
1 14 365.0 1470
1 14 454.0 1890
1 15 171.0  624
1 15 265.0 1026
1 15 365.0 1470
1 15 454.0 1890
1 16 158.5  468
1 16 265.0 1026
1 16 365.0 1470
1 16 454.0 1890
1 17 162.0  480
1 17 265.0 1026
1 17 365.0 1470
1 17 454.0 1890
2  1 166.0  540
2  1 265.0 1026
2  1 365.0 1470
2  1 454.0 1890
2  1 444.5 1716
2  2 156.0  426
2  2 265.0 1026
2  2 365.0 1470
2  2 454.0 1890
2  3 143.5  390
2  3 265.0 1026
2  3 365.0 1470
2  3 454.0 1890
2  4 146.0  570
2  4 265.0 1026
2  4 365.0 1470
2  4 454.0 1890
2  5 149.0  360
2  5 265.0 1026
2  5 365.0 1470
2  5 454.0 1890
2  6 149.0  480
2  6 265.0 1026
2  6 365.0 1470
2  6 454.0 1890
2  7 151.5  450
2  7 265.0 1026
2  7 365.0 1470
2  7 454.0 1890
2  8 153.0  480
2  8 265.0 1026
2  8 365.0 1470
2  8 454.0 1890
2  9 149.5  378
2  9 265.0 1026
2  9 365.0 1470
2  9 454.0 1890
2 10 180.5  594
2 10 265.0 1026
2 10 365.0 1470
2 10 454.0 1890
2 11 164.0  516
2 11 265.0 1026
2 11 365.0 1470
2 11 454.0 1890
2 12 159.5  486
2 12 265.0 1026
2 12 365.0 1470
2 12 454.0 1890
2 13 175.5  570
2 13 265.0 1026
2 13 365.0 1470
3  1 183.0  600
3  1 265.0 1026
3  1 365.0 1470
3  1 454.0 1890
3  2 160.5  480
3  2 265.0 1026
3  2 365.0 1470
3  2 454.0 1890
3  3 149.5  510
3  3 265.0 1026
3  3 365.0 1470
3  3 454.0 1890
3  4 188.5  600
3  4 265.0 1026
3  4 365.0 1470
3  4 454.0 1890
3  5 208.0  720
3  5 265.0 1026
3  5 365.0 1470
3  5 454.0 1890
3  6 182.5  600
3  6 265.0 1026
3  6 365.0 1470
3  6 454.0 1890
3  7 184.0  600
3  7 265.0 1026
3  7 365.0 1470
3  7 454.0 1890
3  8 192.0  600
3  8 265.0 1026
3  8 365.0 1470
3  8 454.0 1890
3  9 181.5  480
3  9 265.0 1026
3  9 365.0 1470
3  9 454.0 1890
3 10 174.5  540
3 10 265.0 1026
3 10 365.0 1470
3 10 454.0 1890
3 11 213.5  780
3 11 265.0 1026
3 11 365.0 1470
3 11 454.0 1890

