 5-7  M Obese   Obese   Obese     8
 5-7  M Obese   Obese   Not_Ob.   1
 5-7  M Obese   Obese   Missing   0
 5-7  M Obese   Not_Ob. Obese     1
 5-7  M Obese   Not_Ob. Not_Ob.   0
 5-7  M Obese   Not_Ob. Missing   0
 5-7  M Obese   Missing Obese     0
 5-7  M Obese   Missing Not_Ob.   0
 5-7  M Obese   Missing Missing   5
 5-7  M Not_Ob. Obese   Obese     7
 5-7  M Not_Ob. Obese   Not_Ob.   3
 5-7  M Not_Ob. Obese   Missing   5
 5-7  M Not_Ob. Not_Ob. Obese     9
 5-7  M Not_Ob. Not_Ob. Not_Ob.  90
 5-7  M Not_Ob. Not_Ob. Missing  16
 5-7  M Not_Ob. Missing Obese     3
 5-7  M Not_Ob. Missing Not_Ob.   9
 5-7  M Not_Ob. Missing Missing  32
 5-7  M Missing Obese   Obese    13
 5-7  M Missing Obese   Not_Ob.   6
 5-7  M Missing Obese   Missing  11
 5-7  M Missing Not_Ob. Obese    18
 5-7  M Missing Not_Ob. Not_Ob. 129
 5-7  M Missing Not_Ob. Missing  33
 5-7  M Missing Missing Obese    24
 5-7  M Missing Missing Not_Ob.  70
 7-9  M Obese   Obese   Obese    20
 7-9  M Obese   Obese   Not_Ob.   7
 7-9  M Obese   Obese   Missing  11
 7-9  M Obese   Not_Ob. Obese     9
 7-9  M Obese   Not_Ob. Not_Ob.   8
 7-9  M Obese   Not_Ob. Missing   1
 7-9  M Obese   Missing Obese     3
 7-9  M Obese   Missing Not_Ob.   1
 7-9  M Obese   Missing Missing   7
 7-9  M Not_Ob. Obese   Obese     8
 7-9  M Not_Ob. Obese   Not_Ob.   8
 7-9  M Not_Ob. Obese   Missing   3
 7-9  M Not_Ob. Not_Ob. Obese    15
 7-9  M Not_Ob. Not_Ob. Not_Ob. 150
 7-9  M Not_Ob. Not_Ob. Missing  38
 7-9  M Not_Ob. Missing Obese     6
 7-9  M Not_Ob. Missing Not_Ob.  16
 7-9  M Not_Ob. Missing Missing  45
 7-9  M Missing Obese   Obese    13
 7-9  M Missing Obese   Not_Ob.   3
 7-9  M Missing Obese   Missing   4
 7-9  M Missing Not_Ob. Obese     2
 7-9  M Missing Not_Ob. Not_Ob.  42
 7-9  M Missing Not_Ob. Missing  33
 7-9  M Missing Missing Obese    14
 7-9  M Missing Missing Not_Ob.  55
 9-11 M Obese   Obese   Obese    25
 9-11 M Obese   Obese   Not_Ob.   9
 9-11 M Obese   Obese   Missing  14
 9-11 M Obese   Not_Ob. Obese     7
 9-11 M Obese   Not_Ob. Not_Ob.   7
 9-11 M Obese   Not_Ob. Missing   2
 9-11 M Obese   Missing Obese     3
 9-11 M Obese   Missing Not_Ob.   0
 9-11 M Obese   Missing Missing  17
 9-11 M Not_Ob. Obese   Obese    10
 9-11 M Not_Ob. Obese   Not_Ob.   8
 9-11 M Not_Ob. Obese   Missing   6
