0 No  No  No  No  237
0 No  No  No  Yes  10
0 No  No  Yes No   15
0 No  No  Yes Yes   4
0 No  Yes No  No   16
0 No  Yes No  Yes   2
0 No  Yes Yes No    7
0 No  Yes Yes Yes   3
0 Yes No  No  No   24
0 Yes No  No  Yes   3
0 Yes No  Yes No    3
0 Yes No  Yes Yes   2
0 Yes Yes No  No    6
0 Yes Yes No  Yes   2
0 Yes Yes Yes No    5
0 Yes Yes Yes Yes  11
1 No  No  No  No  118
1 No  No  No  Yes   6
1 No  No  Yes No    8
1 No  No  Yes Yes   2
1 No  Yes No  No   11
1 No  Yes No  Yes   1
1 No  Yes Yes No    6
1 No  Yes Yes Yes   4
1 Yes No  No  No    7
1 Yes No  No  Yes   3
1 Yes No  Yes No    3
1 Yes No  Yes Yes   1
1 Yes Yes No  No    4
1 Yes Yes No  Yes   2
1 Yes Yes Yes No    4
1 Yes Yes Yes Yes   7

