 1  1 57  86 114 139 172
 1  2 60  93 123 146 177
 1  3 52  77 111 144 185
 1  4 49  67 100 129 164
 1  5 56  81 104 121 151
 1  6 46  70 102 131 153
 1  7 51  71  94 110 141
 1  8 63  91 112 130 154
 1  9 49  67  90 112 140
 1 10 57  82 110 139 169
 2  1 59  85 121 146 181
 2  2 54  71  90 110 138
 2  3 56  75 108 151 189
 2  4 59  85 116 148 177
 2  5 57  72  97 120 144
 2  6 52  73  97 116 140
 2  7 52  70 105 138 171
 3  1 61  86 109 120 129
 3  2 59  80 101 111 122
 3  3 53  79 100 106 133
 3  4 59  88 100 111 122
 3  5 51  75 101 123 140
 3  6 51  75  92 100 119
 3  7 56  78  95 103 108
 3  8 58  69  93 116 140
 3  9 46  61  78  90 107
 3 10 53  72  89 104 122

